t    R    T
2.500000e-08 1.000003e+00 1.362231e-46
2.497500e-05 1.000003e+00 8.719766e-46
4.992500e-05 1.000003e+00 4.207082e-45
7.487500e-05 1.000003e+00 1.756163e-44
9.982500e-05 1.000003e+00 8.935441e-44
1.247750e-04 1.000003e+00 1.355501e-42
1.497250e-04 1.000003e+00 1.027073e-38
1.746750e-04 1.000003e+00 3.153599e-35
1.996250e-04 1.000003e+00 1.723288e-32
2.245750e-04 1.000003e+00 1.146017e-30
2.495250e-04 1.000003e+00 2.008794e-29
2.744750e-04 1.000003e+00 1.292567e-28
2.994250e-04 1.000003e+00 2.794359e-28
3.243750e-04 1.000003e+00 4.052720e-28
3.493250e-04 1.000003e+00 5.049262e-28
3.742750e-04 1.000003e+00 6.350477e-28
3.992250e-04 1.000003e+00 7.369552e-28
4.241750e-04 1.000003e+00 7.970087e-28
4.491250e-04 1.000003e+00 8.285676e-28
4.740750e-04 1.000003e+00 8.729752e-28
4.990250e-04 1.000003e+00 9.583554e-28
5.239750e-04 1.000003e+00 1.103885e-27
5.489250e-04 1.000003e+00 1.300695e-27
5.738750e-04 1.000003e+00 1.481884e-27
5.988250e-04 1.000003e+00 1.659814e-27
6.237750e-04 1.000003e+00 1.860634e-27
6.487250e-04 1.000003e+00 2.162615e-27
6.736750e-04 1.000003e+00 2.860407e-27
6.986250e-04 1.000003e+00 4.936200e-27
7.235750e-04 1.000003e+00 1.289605e-26
7.485250e-04 1.000003e+00 4.315743e-26
7.734750e-04 1.000003e+00 1.594951e-25
7.984250e-04 1.000003e+00 5.989909e-25
8.233750e-04 1.000003e+00 2.232026e-24
8.483250e-04 1.000003e+00 8.205151e-24
8.732750e-04 1.000003e+00 2.968936e-23
8.982250e-04 1.000003e+00 1.057374e-22
9.231750e-04 1.000003e+00 3.704308e-22
9.481250e-04 1.000003e+00 1.276950e-21
9.730750e-04 1.000003e+00 4.330365e-21
9.980250e-04 1.000003e+00 1.444738e-20
1.022975e-03 1.000003e+00 4.741932e-20
1.047925e-03 1.000003e+00 1.531117e-19
1.072875e-03 1.000003e+00 4.863568e-19
1.097825e-03 1.000003e+00 1.519776e-18
1.122775e-03 1.000003e+00 4.671819e-18
1.147725e-03 1.000003e+00 1.412753e-17
1.172675e-03 1.000003e+00 4.202621e-17
1.197625e-03 1.000003e+00 1.229829e-16
1.222575e-03 1.000003e+00 3.540287e-16
1.247525e-03 1.000003e+00 1.002538e-15
1.272475e-03 1.000003e+00 2.792748e-15
1.297425e-03 1.000003e+00 7.652996e-15
1.322375e-03 1.000003e+00 2.063011e-14
1.347325e-03 1.000003e+00 5.470706e-14
1.372275e-03 1.000003e+00 1.427118e-13
1.397225e-03 1.000003e+00 3.662299e-13
1.422175e-03 1.000003e+00 9.245478e-13
1.447125e-03 1.000003e+00 2.296101e-12
1.472075e-03 1.000003e+00 5.609757e-12
1.497025e-03 1.000003e+00 1.348324e-11
1.521975e-03 1.000003e+00 3.188223e-11
1.546925e-03 1.000003e+00 7.416763e-11
1.571875e-03 1.000003e+00 1.697460e-10
1.596825e-03 1.000003e+00 3.822200e-10
1.621775e-03 1.000003e+00 8.467696e-10
1.646725e-03 1.000003e+00 1.845720e-09
1.671675e-03 1.000003e+00 3.958459e-09
1.696625e-03 1.000003e+00 8.353307e-09
1.721575e-03 1.000003e+00 1.734505e-08
1.746525e-03 1.000002e+00 3.543981e-08
1.771475e-03 1.000002e+00 7.125585e-08
1.796425e-03 1.000002e+00 1.409868e-07
1.821375e-03 1.000001e+00 2.745249e-07
1.846325e-03 9.999999e-01 5.260752e-07
1.871275e-03 9.999977e-01 9.921908e-07
1.896225e-03 9.999938e-01 1.841804e-06
1.921175e-03 9.999872e-01 3.365215e-06
1.946125e-03 9.999760e-01 6.052366e-06
1.971075e-03 9.999573e-01 1.071528e-05
1.996025e-03 9.999267e-01 1.867548e-05
2.020975e-03 9.998776e-01 3.204462e-05
2.045925e-03 9.997996e-01 5.413529e-05
2.070875e-03 9.996781e-01 9.004836e-05
2.095825e-03 9.994918e-01 1.474928e-04
2.120775e-03 9.992106e-01 2.379010e-04
2.145725e-03 9.987930e-01 3.779074e-04
2.170675e-03 9.981828e-01 5.912519e-04
2.195625e-03 9.973053e-01 9.111589e-04
2.220575e-03 9.960636e-01 1.383212e-03
2.245525e-03 9.943341e-01 2.068695e-03
2.270475e-03 9.919636e-01 3.048321e-03
2.295425e-03 9.887656e-01 4.426154e-03
2.320375e-03 9.845194e-01 6.333470e-03
2.345325e-03 9.789696e-01 8.932174e-03
2.370275e-03 9.718299e-01 1.241728e-02
2.395225e-03 9.627883e-01 1.701794e-02
2.420175e-03 9.515166e-01 2.299636e-02
2.445125e-03 9.376829e-01 3.064412e-02
2.470075e-03 9.209682e-01 4.027540e-02
2.495025e-03 9.010844e-01 5.221678e-02
2.519975e-03 8.777952e-01 6.679374e-02
2.544925e-03 8.509363e-01 8.431404e-02
2.569875e-03 8.204352e-01 1.050488e-01
2.594825e-03 7.863266e-01 1.292125e-01
2.619775e-03 7.487647e-01 1.569426e-01
2.644725e-03 7.080275e-01 1.882819e-01
2.669675e-03 6.645148e-01 2.231637e-01
2.694625e-03 6.187383e-01 2.614023e-01
2.719575e-03 5.713041e-01 3.026902e-01
2.744525e-03 5.228883e-01 3.466024e-01
2.769475e-03 4.742084e-01 3.926081e-01
2.794425e-03 4.259913e-01 4.400900e-01
2.819375e-03 3.789407e-01 4.883689e-01
2.844325e-03 3.337069e-01 5.367333e-01
2.869275e-03 2.908602e-01 5.844706e-01
2.894225e-03 2.508702e-01 6.308986e-01
2.919175e-03 2.140923e-01 6.753942e-01
2.944125e-03 1.807614e-01 7.174181e-01
2.969075e-03 1.509931e-01 7.565331e-01
2.994025e-03 1.247913e-01 7.924157e-01
3.018975e-03 1.020614e-01 8.248607e-01
3.043925e-03 8.262661e-02 8.537783e-01
3.068875e-03 6.624719e-02 8.791851e-01
3.093825e-03 5.263981e-02 9.011914e-01
3.118775e-03 4.149608e-02 9.199834e-01
3.143725e-03 3.249929e-02 9.358056e-01
3.168675e-03 2.533841e-02 9.489410e-01
3.193625e-03 1.971904e-02 9.596944e-01
3.218575e-03 1.537122e-02 9.683759e-01
3.243525e-03 1.205429e-02 9.752881e-01
3.268475e-03 9.559095e-03 9.807163e-01
3.293425e-03 7.708171e-03 9.849210e-01
3.318375e-03 6.354200e-03 9.881337e-01
3.343325e-03 5.377454e-03 9.905553e-01
3.368275e-03 4.682556e-03 9.923562e-01
3.393225e-03 4.194983e-03 9.936775e-01
3.418175e-03 3.857577e-03 9.946341e-01
3.443125e-03 3.627291e-03 9.953175e-01
3.468075e-03 3.472269e-03 9.957994e-01
3.493025e-03 3.369340e-03 9.961346e-01
3.517975e-03 3.301934e-03 9.963648e-01
3.542925e-03 3.258393e-03 9.965209e-01
3.567875e-03 3.230654e-03 9.966254e-01
3.592825e-03 3.213223e-03 9.966943e-01
3.617775e-03 3.202420e-03 9.967393e-01
3.642725e-03 3.195817e-03 9.967683e-01
3.667675e-03 3.191836e-03 9.967868e-01
3.692625e-03 3.189470e-03 9.967983e-01
3.717575e-03 3.188083e-03 9.968055e-01
3.742525e-03 3.187282e-03 9.968099e-01
3.767475e-03 3.186825e-03 9.968126e-01
3.792425e-03 3.186569e-03 9.968142e-01
3.817375e-03 3.186427e-03 9.968151e-01
3.842325e-03 3.186350e-03 9.968156e-01
3.867275e-03 3.186308e-03 9.968160e-01
3.892225e-03 3.186286e-03 9.968161e-01
3.917175e-03 3.186275e-03 9.968162e-01
3.942125e-03 3.186269e-03 9.968163e-01
3.967075e-03 3.186266e-03 9.968163e-01
3.992025e-03 3.186265e-03 9.968163e-01
4.016975e-03 3.186264e-03 9.968164e-01
4.041925e-03 3.186264e-03 9.968164e-01
4.066875e-03 3.186263e-03 9.968164e-01
4.091825e-03 3.186263e-03 9.968164e-01
4.116775e-03 3.186263e-03 9.968164e-01
4.141725e-03 3.186263e-03 9.968164e-01
4.166675e-03 3.186263e-03 9.968164e-01
4.191625e-03 3.186263e-03 9.968164e-01
4.216575e-03 3.186263e-03 9.968164e-01
4.241525e-03 3.186263e-03 9.968164e-01
4.266475e-03 3.186263e-03 9.968164e-01
4.291425e-03 3.186263e-03 9.968164e-01
4.316375e-03 3.186263e-03 9.968164e-01
4.341325e-03 3.186263e-03 9.968164e-01
4.366275e-03 3.186263e-03 9.968164e-01
4.391225e-03 3.186263e-03 9.968164e-01
4.416175e-03 3.186263e-03 9.968164e-01
4.441125e-03 3.186263e-03 9.968164e-01
4.466075e-03 3.186263e-03 9.968164e-01
4.491025e-03 3.186263e-03 9.968164e-01
4.515975e-03 3.186263e-03 9.968164e-01
4.540925e-03 3.186263e-03 9.968164e-01
4.565875e-03 3.186263e-03 9.968164e-01
4.590825e-03 3.186263e-03 9.968164e-01
4.615775e-03 3.186263e-03 9.968164e-01
4.640725e-03 3.186263e-03 9.968164e-01
4.665675e-03 3.186263e-03 9.968164e-01
4.690625e-03 3.186263e-03 9.968164e-01
4.715575e-03 3.186263e-03 9.968164e-01
4.740525e-03 3.186263e-03 9.968164e-01
4.765475e-03 3.186263e-03 9.968164e-01
4.790425e-03 3.186263e-03 9.968164e-01
4.815375e-03 3.186263e-03 9.968164e-01
4.840325e-03 3.186263e-03 9.968164e-01
4.865275e-03 3.186263e-03 9.968164e-01
4.890225e-03 3.186263e-03 9.968164e-01
4.915175e-03 3.186263e-03 9.968164e-01
4.940125e-03 3.186263e-03 9.968164e-01
4.965075e-03 3.186263e-03 9.968164e-01
4.990025e-03 3.186263e-03 9.968164e-01
5.014975e-03 3.186263e-03 9.968164e-01
5.039925e-03 3.186263e-03 9.968164e-01
5.064875e-03 3.186263e-03 9.968164e-01
5.089825e-03 3.186263e-03 9.968164e-01
5.114775e-03 3.186263e-03 9.968164e-01
5.139725e-03 3.186263e-03 9.968164e-01
5.164675e-03 3.186263e-03 9.968164e-01
5.189625e-03 3.186263e-03 9.968164e-01
5.214575e-03 3.186263e-03 9.968164e-01
5.239525e-03 3.186263e-03 9.968164e-01
5.264475e-03 3.186263e-03 9.968164e-01
5.289425e-03 3.186263e-03 9.968164e-01
5.314375e-03 3.186263e-03 9.968164e-01
5.339325e-03 3.186263e-03 9.968164e-01
5.364275e-03 3.186263e-03 9.968164e-01
5.389225e-03 3.186263e-03 9.968164e-01
5.414175e-03 3.186263e-03 9.968164e-01
5.439125e-03 3.186263e-03 9.968164e-01
5.464075e-03 3.186263e-03 9.968164e-01
5.489025e-03 3.186263e-03 9.968164e-01
