# x psi_r psi_i psi2 
-8.000000e+00 -3.043655e-16  4.857278e-15 2.368579e-29
-7.999674e+00  1.408617e-15 -1.657820e-14 2.768209e-28
-7.999349e+00  2.757248e-16  1.554111e-14 2.416021e-28
-7.999023e+00 -1.274785e-14 -2.086816e-15 1.668625e-28
-7.998698e+00  1.514358e-14 -9.713686e-16 2.302715e-28
-7.998372e+00 -3.567836e-15 -7.112193e-16 1.323529e-29
-7.998047e+00 -1.070990e-15 -1.738364e-15 4.168931e-30
-7.997721e+00 -3.132856e-15  3.661661e-16 9.948865e-30
-7.997396e+00 -9.170382e-16 -4.875275e-15 2.460926e-29
-7.997070e+00  1.894326e-15  9.490698e-15 9.366182e-29
-7.996745e+00 -3.549148e-15 -4.909442e-15 3.669907e-29
-7.996419e+00 -3.717733e-15  1.602611e-14 2.706577e-28
-7.996094e+00  5.533103e-15 -1.653057e-14 3.038748e-28
-7.995768e+00 -5.290126e-15  1.316097e-14 2.011965e-28
-7.995443e+00  6.334213e-16 -1.541580e-14 2.380482e-28
-7.995117e+00 -4.516144e-15  6.575907e-15 6.363811e-29
-7.994792e+00  8.024580e-15 -9.164376e-15 1.483797e-28
-7.994466e+00 -3.966415e-15  1.027705e-14 1.213501e-28
-7.994141e+00  1.141326e-15 -6.082606e-15 3.830073e-29
-7.993815e+00  6.107993e-15  4.785710e-15 6.021060e-29
-7.993489e+00 -1.191949e-15 -9.320305e-15 8.828882e-29
-7.993164e+00  1.233012e-15  8.463991e-15 7.315946e-29
-7.992838e+00  1.232519e-15 -3.075779e-15 1.097952e-29
-7.992513e+00 -2.741131e-15 -4.435907e-16 7.710573e-30
-7.992187e+00  6.085914e-15  1.255024e-15 3.861343e-29
-7.991862e+00  4.134969e-15  1.368982e-15 1.897208e-29
-7.991536e+00  2.719820e-15  4.991310e-16 7.646555e-30
-7.991211e+00 -7.785526e-15  1.472933e-15 6.278395e-29
-7.990885e+00  1.750930e-15  6.075270e-15 3.997466e-29
-7.990560e+00  1.879014e-15 -9.836776e-15 1.002929e-28
-7.990234e+00 -5.366593e-15  2.288828e-15 3.403905e-29
-7.989909e+00 -1.334290e-15 -7.682741e-16 2.370574e-30
-7.989583e+00  7.638531e-15  3.733976e-17 5.834855e-29
-7.989258e+00 -1.201185e-14  1.746731e-15 1.473356e-28
-7.988932e+00  3.024387e-15 -4.760567e-15 3.180991e-29
-7.988607e+00 -6.629172e-15  4.485187e-15 6.406282e-29
-7.988281e+00  6.205533e-15 -3.469230e-15 5.054420e-29
-7.987955e+00 -6.038546e-15 -6.256453e-16 3.685546e-29
-7.987630e+00  6.572704e-16  2.424039e-15 6.307968e-30
-7.987304e+00 -3.264167e-15 -6.521380e-15 5.318319e-29
-7.986979e+00  1.815766e-15  1.582328e-14 2.536731e-28
-7.986653e+00  1.636458e-15 -1.267284e-14 1.632790e-28
-7.986328e+00 -3.338465e-15  5.010710e-15 3.625257e-29
-7.986002e+00  6.222202e-15 -4.057875e-15 5.518215e-29
-7.985677e+00 -8.049093e-15  1.043949e-14 1.737708e-28
-7.985351e+00  1.058314e-14 -1.148208e-14 2.438411e-28
-7.985026e+00  5.165124e-15  4.699608e-15 4.876482e-29
-7.984700e+00 -9.966792e-15  3.011738e-15 1.084075e-28
-7.984375e+00  7.688200e-15  3.395885e-15 7.064045e-29
-7.984049e+00 -1.613037e-15 -9.062860e-15 8.473732e-29
-7.983724e+00  4.605542e-16  5.602162e-15 3.159632e-29
-7.983398e+00  3.607274e-15 -1.228834e-14 1.640158e-28
-7.983073e+00 -1.945224e-15  2.910768e-15 1.225647e-29
-7.982747e+00  1.089912e-14  8.035650e-15 1.833625e-28
-7.982422e+00 -1.058923e-14 -1.074743e-14 2.276391e-28
-7.982096e+00  1.128633e-14  7.475686e-15 1.832671e-28
-7.981770e+00 -1.034986e-14 -1.137717e-15 1.084140e-28
-7.981445e+00  4.970192e-15  2.888467e-15 3.304605e-29
-7.981119e+00 -9.012613e-16  1.453510e-14 2.120815e-28
-7.980794e+00 -4.032130e-15 -2.136182e-14 4.725856e-28
-7.980468e+00 -4.287469e-15  7.437107e-15 7.369295e-29
-7.980143e+00 -5.237559e-15 -2.379171e-15 3.309248e-29
-7.979817e+00 -2.810849e-15  3.874747e-15 2.291454e-29
-7.979492e+00  2.512663e-15 -7.783949e-15 6.690333e-29
-7.979166e+00 -3.635970e-15  2.735784e-15 2.070479e-29
-7.978841e+00  2.348830e-15  3.256207e-15 1.611988e-29
-7.978515e+00 -1.097060e-14 -4.694301e-15 1.423904e-28
-7.978190e+00  1.405156e-14  6.770526e-15 2.432863e-28
-7.977864e+00 -5.824790e-15 -6.265310e-15 7.318229e-29
-7.977539e+00  2.005706e-15  5.344653e-15 3.258817e-29
-7.977213e+00  3.752433e-15 -2.267605e-15 1.922278e-29
-7.976888e+00 -5.636123e-15  3.475473e-15 4.384479e-29
-7.976562e+00  1.626535e-14 -6.978071e-15 3.132551e-28
-7.976236e+00 -5.490772e-15  6.683609e-15 7.481921e-29
-7.975911e+00  5.736889e-15 -1.471280e-14 2.493785e-28
-7.975585e+00 -2.136863e-15  1.915709e-14 3.715601e-28
-7.975260e+00 -2.972589e-15 -1.727582e-14 3.072904e-28
-7.974934e+00  6.370546e-15  1.818555e-14 3.712980e-28
-7.974609e+00 -8.767547e-15 -6.976171e-15 1.255368e-28
-7.974283e+00  4.962336e-15 -4.724955e-15 4.694997e-29
-7.973958e+00 -1.318309e-15  9.859185e-15 9.894147e-29
-7.973632e+00  1.723195e-15 -7.534408e-15 5.973671e-29
-7.973307e+00  2.260695e-15  2.895575e-15 1.349510e-29
-7.972981e+00  8.701640e-16 -3.652617e-15 1.409880e-29
-7.972656e+00 -8.464755e-15  2.380764e-15 7.732011e-29
-7.972330e+00  2.650376e-15  2.956350e-15 1.576450e-29
-7.972005e+00 -3.689359e-15 -5.758836e-15 4.677556e-29
-7.971679e+00 -3.459326e-16  1.037322e-15 1.195707e-30
-7.971354e+00 -6.732693e-16 -3.679005e-15 1.398837e-29
-7.971028e+00  1.610562e-15  1.690561e-15 5.451905e-30
