t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.015585e-27
2.000000e-04 1.000000e+00 8.129301e-27
3.000000e-04 1.000000e+00 1.639792e-26
4.000000e-04 1.000000e+00 2.804596e-26
5.000000e-04 1.000000e+00 4.298855e-26
6.000000e-04 1.000000e+00 6.124111e-26
7.000000e-04 1.000000e+00 8.273625e-26
8.000000e-04 1.000000e+00 1.086304e-25
9.000000e-04 1.000000e+00 1.368223e-25
1.000000e-03 1.000000e+00 1.665963e-25
1.100000e-03 1.000000e+00 2.028510e-25
1.200000e-03 1.000000e+00 3.085996e-25
1.300000e-03 1.000000e+00 2.467395e-24
1.400000e-03 1.000000e+00 6.227268e-23
1.500000e-03 1.000000e+00 1.576089e-21
1.600000e-03 1.000000e+00 3.587851e-20
1.700000e-03 1.000000e+00 7.302223e-19
1.800000e-03 1.000000e+00 1.327606e-17
1.900000e-03 1.000000e+00 2.155253e-16
2.000000e-03 1.000000e+00 3.123517e-15
2.100000e-03 1.000000e+00 4.040878e-14
2.200000e-03 1.000000e+00 4.666905e-13
2.300000e-03 1.000000e+00 4.812866e-12
2.400000e-03 1.000000e+00 4.433681e-11
2.500000e-03 1.000000e+00 3.650395e-10
2.600000e-03 1.000000e+00 2.687960e-09
2.700000e-03 9.999998e-01 1.771619e-08
2.800000e-03 9.999989e-01 1.046174e-07
2.900000e-03 9.999947e-01 5.541272e-07
3.000000e-03 9.999778e-01 2.635966e-06
3.100000e-03 9.999157e-01 1.127754e-05
3.200000e-03 9.997118e-01 4.346325e-05
3.300000e-03 9.991107e-01 1.511559e-04
3.400000e-03 9.975178e-01 4.752931e-04
3.500000e-03 9.937202e-01 1.354104e-03
3.600000e-03 9.855644e-01 3.503547e-03
3.700000e-03 9.697702e-01 8.253512e-03
3.800000e-03 9.421609e-01 1.775280e-02
3.900000e-03 8.985582e-01 3.497374e-02
4.000000e-03 8.363041e-01 6.332292e-02
4.100000e-03 7.559200e-01 1.057768e-01
4.200000e-03 6.620642e-01 1.637168e-01
4.300000e-03 5.630596e-01 2.359160e-01
4.400000e-03 4.689053e-01 3.182152e-01
4.500000e-03 3.885122e-01 4.041936e-01
4.600000e-03 3.273634e-01 4.866715e-01
4.700000e-03 2.865596e-01 5.594589e-01
4.800000e-03 2.634486e-01 6.186624e-01
4.900000e-03 2.532796e-01 6.631250e-01
5.000000e-03 2.509996e-01 6.940105e-01
5.100000e-03 2.525078e-01 7.138867e-01
5.200000e-03 2.551407e-01 7.257555e-01
5.300000e-03 2.575462e-01 7.323406e-01
5.400000e-03 2.592705e-01 7.357394e-01
5.500000e-03 2.603307e-01 7.373731e-01
5.600000e-03 2.609094e-01 7.381049e-01
5.700000e-03 2.611947e-01 7.384106e-01
5.800000e-03 2.613229e-01 7.385297e-01
5.900000e-03 2.613758e-01 7.385729e-01
6.000000e-03 2.613959e-01 7.385875e-01
6.100000e-03 2.614031e-01 7.385919e-01
6.200000e-03 2.614057e-01 7.385929e-01
6.300000e-03 2.614069e-01 7.385927e-01
6.400000e-03 2.614076e-01 7.385922e-01
6.500000e-03 2.614083e-01 7.385916e-01
6.600000e-03 2.614090e-01 7.385910e-01
6.700000e-03 2.614095e-01 7.385904e-01
6.800000e-03 2.614100e-01 7.385900e-01
6.900000e-03 2.614103e-01 7.385897e-01
7.000000e-03 2.614104e-01 7.385896e-01
7.100000e-03 2.614102e-01 7.385897e-01
7.200000e-03 2.614099e-01 7.385900e-01
7.300000e-03 2.614095e-01 7.385905e-01
7.400000e-03 2.614089e-01 7.385911e-01
7.500000e-03 2.614083e-01 7.385917e-01
7.600000e-03 2.614076e-01 7.385924e-01
7.700000e-03 2.614070e-01 7.385930e-01
7.800000e-03 2.614066e-01 7.385934e-01
7.900000e-03 2.614063e-01 7.385937e-01
8.000000e-03 2.614062e-01 7.385938e-01
8.100000e-03 2.614063e-01 7.385937e-01
8.200000e-03 2.614066e-01 7.385934e-01
8.300000e-03 2.614070e-01 7.385929e-01
8.400000e-03 2.614076e-01 7.385924e-01
8.500000e-03 2.614082e-01 7.385917e-01
8.600000e-03 2.614089e-01 7.385911e-01
8.700000e-03 2.614095e-01 7.385905e-01
8.800000e-03 2.614099e-01 7.385900e-01
8.900000e-03 2.614102e-01 7.385897e-01
9.000000e-03 2.614103e-01 7.385896e-01
9.100000e-03 2.614103e-01 7.385897e-01
9.200000e-03 2.614100e-01 7.385900e-01
9.300000e-03 2.614096e-01 7.385904e-01
9.400000e-03 2.614090e-01 7.385910e-01
9.500000e-03 2.614084e-01 7.385916e-01
9.600000e-03 2.614077e-01 7.385923e-01
9.700000e-03 2.614071e-01 7.385929e-01
9.800000e-03 2.614067e-01 7.385933e-01
9.900000e-03 2.614063e-01 7.385936e-01
1.000000e-02 2.614062e-01 7.385938e-01
1.010000e-02 2.614063e-01 7.385937e-01
1.020000e-02 2.614065e-01 7.385935e-01
1.030000e-02 2.614069e-01 7.385930e-01
1.040000e-02 2.614075e-01 7.385925e-01
