# x psi_r psi_i psi2 
-8.000000e+00  3.425760e-04 -6.049431e-04 4.833145e-07
-7.999674e+00 -7.808747e-04  1.293083e-03 2.281830e-06
-7.999349e+00  9.799294e-04 -1.585300e-03 3.473437e-06
-7.999023e+00 -8.787578e-04  1.392121e-03 2.710217e-06
-7.998698e+00  5.083598e-04 -7.726971e-04 8.554905e-07
-7.998372e+00  1.778162e-05 -8.331326e-05 7.257286e-09
-7.998047e+00 -5.384691e-04  9.138122e-04 1.125002e-06
-7.997721e+00  8.941781e-04 -1.464514e-03 2.944355e-06
-7.997396e+00 -9.759309e-04  1.566803e-03 3.407311e-06
-7.997070e+00  7.586839e-04 -1.189360e-03 1.990179e-06
-7.996745e+00 -3.089991e-04  4.477554e-04 2.959654e-07
-7.996419e+00 -2.353494e-04  4.309435e-04 2.411016e-07
-7.996094e+00  7.075868e-04 -1.177692e-03 1.887637e-06
-7.995768e+00 -9.630332e-04  1.563847e-03 3.373052e-06
-7.995443e+00  9.234293e-04 -1.471176e-03 3.017081e-06
-7.995117e+00 -6.009120e-04  9.280536e-04 1.222379e-06
-7.994792e+00  9.429525e-05 -1.007768e-04 1.904757e-08
-7.994466e+00  4.412051e-04 -7.573541e-04 7.682472e-07
-7.994141e+00 -8.415259e-04  1.383593e-03 2.622495e-06
-7.993815e+00  9.840213e-04 -1.586195e-03 3.484313e-06
-7.993489e+00 -8.250373e-04  1.303129e-03 2.378831e-06
-7.993164e+00  4.132861e-04 -6.210650e-04 5.565271e-07
-7.992838e+00  1.250801e-04 -2.511574e-04 7.872509e-08
-7.992513e+00 -6.251189e-04  1.046477e-03 1.485888e-06
-7.992187e+00  9.336323e-04 -1.521380e-03 3.186266e-06
-7.991862e+00 -9.561024e-04  1.530458e-03 3.256435e-06
-7.991536e+00  6.856482e-04 -1.070934e-03 1.617013e-06
-7.991211e+00 -2.051330e-04  2.835076e-04 1.224561e-07
-7.990885e+00 -3.382238e-04  5.907226e-04 4.633486e-07
-7.990560e+00  7.779517e-04 -1.284081e-03 2.254072e-06
-7.990234e+00 -9.793311e-04  1.584271e-03 3.469005e-06
-7.989909e+00  8.806675e-04 -1.399382e-03 2.733845e-06
-7.989583e+00 -5.121922e-04  7.860238e-04 8.801743e-07
-7.989258e+00 -1.320064e-05  6.800112e-05 4.798409e-09
-7.988932e+00  5.345431e-04 -9.012031e-04 1.097903e-06
-7.988607e+00 -8.921100e-04  1.458469e-03 2.922991e-06
-7.988281e+00  9.763543e-04 -1.569172e-03 3.415569e-06
-7.987955e+00 -7.614689e-04  1.199419e-03 2.018442e-06
-7.987630e+00  3.132925e-04 -4.624236e-04 3.119878e-07
-7.987304e+00  2.308631e-04 -4.161572e-04 2.264846e-07
-7.986979e+00 -7.042823e-04  1.167315e-03 1.858638e-06
-7.986653e+00  9.619229e-04 -1.561057e-03 3.362196e-06
-7.986328e+00 -9.248532e-04  1.476827e-03 3.036372e-06
-7.986002e+00  6.044339e-04 -9.404153e-04 1.249721e-06
-7.985677e+00 -9.883594e-05  1.160642e-04 2.323945e-08
-7.985351e+00 -4.370368e-04  7.438220e-04 7.442724e-07
-7.985026e+00  8.390072e-04 -1.375959e-03 2.597197e-06
-7.984700e+00 -9.839237e-04  1.586798e-03 3.486033e-06
-7.984375e+00  8.273908e-04 -1.311783e-03 2.405350e-06
-7.984049e+00 -4.173694e-04  6.351207e-04 5.775756e-07
-7.983724e+00 -1.205180e-04  2.360039e-04 7.022241e-08
-7.983398e+00  6.214758e-04 -1.034866e-03 1.457179e-06
-7.983073e+00 -9.320244e-04  1.516866e-03 3.169551e-06
-7.982747e+00  9.570223e-04 -1.534424e-03 3.270348e-06
-7.982422e+00 -6.888140e-04  1.082165e-03 1.645546e-06
-7.982096e+00  2.095747e-04 -2.985651e-04 1.330627e-07
-7.981770e+00  3.338672e-04 -5.764491e-04 4.437609e-07
-7.981445e+00 -7.750149e-04  1.274962e-03 2.226175e-06
-7.981119e+00  9.787139e-04 -1.583099e-03 3.464083e-06
-7.980794e+00 -8.825589e-04  1.406515e-03 2.757195e-06
-7.980468e+00  5.160128e-04 -7.992785e-04 9.051152e-07
-7.980143e+00  8.621691e-06 -5.268350e-05 2.849885e-09
-7.979817e+00 -5.306087e-04  8.885127e-04 1.071000e-06
-7.979492e+00  8.900255e-04 -1.452291e-03 2.901295e-06
-7.979166e+00 -9.767584e-04  1.571399e-03 3.423352e-06
-7.978841e+00  7.642378e-04 -1.209369e-03 2.046632e-06
-7.978515e+00 -3.175776e-04  4.770492e-04 3.284315e-07
-7.978190e+00 -2.263747e-04  4.013339e-04 2.123144e-07
-7.977864e+00  7.009657e-04 -1.156833e-03 1.829615e-06
-7.977539e+00 -9.607943e-04  1.558126e-03 3.350881e-06
-7.977213e+00  9.262584e-04 -1.482344e-03 3.055297e-06
-7.976888e+00 -6.079422e-04  9.526911e-04 1.277214e-06
-7.976562e+00  1.033724e-04 -1.313403e-04 2.793615e-08
-7.976236e+00  4.328621e-04 -7.302230e-04 7.205952e-07
-7.975911e+00 -8.364733e-04  1.368201e-03 2.571663e-06
-7.975585e+00  9.838069e-04 -1.587256e-03 3.487259e-06
-7.975260e+00 -8.297269e-04  1.320317e-03 2.431685e-06
