R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 1.781645e-27
2.000000e-04 1.000000e+00 7.340229e-27
3.000000e-04 1.000000e+00 1.551072e-26
4.000000e-04 1.000000e+00 2.641560e-26
5.000000e-04 1.000000e+00 4.026581e-26
6.000000e-04 1.000000e+00 5.719208e-26
7.000000e-04 1.000000e+00 7.727909e-26
8.000000e-04 1.000000e+00 1.006854e-25
9.000000e-04 1.000000e+00 1.265854e-25
1.000000e-03 1.000000e+00 1.552098e-25
1.100000e-03 1.000000e+00 1.873917e-25
1.200000e-03 1.000000e+00 2.226818e-25
1.300000e-03 1.000000e+00 2.612791e-25
1.400000e-03 1.000000e+00 3.022655e-25
1.500000e-03 1.000000e+00 3.485362e-25
1.600000e-03 1.000000e+00 4.343599e-25
1.700000e-03 1.000000e+00 9.692170e-25
1.800000e-03 1.000000e+00 6.102678e-24
1.900000e-03 1.000000e+00 5.489723e-23
2.000000e-03 1.000000e+00 4.939831e-22
2.100000e-03 1.000000e+00 4.239287e-21
2.200000e-03 1.000000e+00 3.456386e-20
2.300000e-03 1.000000e+00 2.676979e-19
2.400000e-03 1.000000e+00 1.969145e-18
2.500000e-03 1.000000e+00 1.375276e-17
2.600000e-03 1.000000e+00 9.116800e-17
2.700000e-03 1.000000e+00 5.734725e-16
2.800000e-03 1.000000e+00 3.422165e-15
2.900000e-03 1.000000e+00 1.937027e-14
3.000000e-03 1.000000e+00 1.039858e-13
3.100000e-03 1.000000e+00 5.294207e-13
3.200000e-03 1.000000e+00 2.556406e-12
3.300000e-03 1.000000e+00 1.170852e-11
3.400000e-03 1.000000e+00 5.087272e-11
3.500000e-03 1.000000e+00 2.097363e-10
3.600000e-03 1.000000e+00 8.207064e-10
3.700000e-03 1.000000e+00 3.049111e-09
3.800000e-03 9.999999e-01 1.075968e-08
3.900000e-03 9.999997e-01 3.607948e-08
4.000000e-03 9.999990e-01 1.150196e-07
4.100000e-03 9.999973e-01 3.487979e-07
4.200000e-03 9.999929e-01 1.006761e-06
4.300000e-03 9.999820e-01 2.767652e-06
4.400000e-03 9.999566e-01 7.251549e-06
4.500000e-03 9.998996e-01 1.812200e-05
4.600000e-03 9.997784e-01 4.322928e-05
4.700000e-03 9.995322e-01 9.851574e-05
4.800000e-03 9.990543e-01 2.146674e-04
4.900000e-03 9.981680e-01 4.476656e-04
5.000000e-03 9.965962e-01 8.942929e-04
5.100000e-03 9.939279e-01 1.713058e-03
5.200000e-03 9.895893e-01 3.149742e-03
5.300000e-03 9.828264e-01 5.564781e-03
5.400000e-03 9.727125e-01 9.457307e-03
5.500000e-03 9.581897e-01 1.547835e-02
5.600000e-03 9.381506e-01 2.442457e-02
5.700000e-03 9.115586e-01 3.720468e-02
5.800000e-03 8.775956e-01 5.477419e-02
5.900000e-03 8.358139e-01 7.804010e-02
6.000000e-03 7.862669e-01 1.077447e-01
6.100000e-03 7.295879e-01 1.443442e-01
6.200000e-03 6.669973e-01 1.879040e-01
6.300000e-03 6.002283e-01 2.380293e-01
6.400000e-03 5.313800e-01 2.938497e-01
6.500000e-03 4.627171e-01 3.540628e-01
6.600000e-03 3.964515e-01 4.170344e-01
6.700000e-03 3.345382e-01 4.809405e-01
6.800000e-03 2.785154e-01 5.439292e-01
6.900000e-03 2.294103e-01 6.042794e-01
7.000000e-03 1.877137e-01 6.605332e-01
7.100000e-03 1.534189e-01 7.115876e-01
7.200000e-03 1.261084e-01 7.567380e-01
7.300000e-03 1.050680e-01 7.956751e-01
7.400000e-03 8.940689e-02 8.284431e-01
7.500000e-03 7.816885e-02 8.553714e-01
7.600000e-03 7.042117e-02 8.769947e-01
7.700000e-03 6.531781e-02 8.939709e-01
7.800000e-03 6.213591e-02 9.070082e-01
7.900000e-03 6.028977e-02 9.168071e-01
8.000000e-03 5.932764e-02 9.240178e-01
8.100000e-03 5.891742e-02 9.292147e-01
8.200000e-03 5.882674e-02 9.328839e-01
8.300000e-03 5.890140e-02 9.354225e-01
8.400000e-03 5.904526e-02 9.371438e-01
8.500000e-03 5.920290e-02 9.382879e-01
8.600000e-03 5.934596e-02 9.390336e-01
8.700000e-03 5.946285e-02 9.395105e-01
8.800000e-03 5.955156e-02 9.398102e-01
8.900000e-03 5.961490e-02 9.399956e-01
9.000000e-03 5.965761e-02 9.401089e-01
9.100000e-03 5.968470e-02 9.401778e-01
9.200000e-03 5.970065e-02 9.402197e-01
9.300000e-03 5.970911e-02 9.402454e-01
9.400000e-03 5.971293e-02 9.402613e-01
9.500000e-03 5.971417e-02 9.402711e-01
9.600000e-03 5.971432e-02 9.402769e-01
9.700000e-03 5.971438e-02 9.402798e-01
9.800000e-03 5.971496e-02 9.402805e-01
9.900000e-03 5.971639e-02 9.402794e-01
1.000000e-02 5.971875e-02 9.402769e-01
1.010000e-02 5.972194e-02 9.402734e-01
1.020000e-02 5.972571e-02 9.402693e-01
1.030000e-02 5.972974e-02 9.402650e-01
1.040000e-02 5.973365e-02 9.402610e-01
1.050000e-02 5.973706e-02 9.402576e-01
1.060000e-02 5.973963e-02 9.402552e-01
1.070000e-02 5.974114e-02 9.402540e-01
1.080000e-02 5.974142e-02 9.402541e-01
1.090000e-02 5.974047e-02 9.402555e-01
1.100000e-02 5.973838e-02 9.402581e-01
1.110000e-02 5.973535e-02 9.402617e-01
1.120000e-02 5.973168e-02 9.402658e-01
1.130000e-02 5.972771e-02 9.402702e-01
1.140000e-02 5.972384e-02 9.402743e-01
1.150000e-02 5.972042e-02 9.402777e-01
1.160000e-02 5.971779e-02 9.402802e-01
1.170000e-02 5.971620e-02 9.402815e-01
1.180000e-02 5.971582e-02 9.402815e-01
1.190000e-02 5.971667e-02 9.402801e-01
1.200000e-02 5.971868e-02 9.402775e-01
