t    R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 2.348753e-27
2.000000e-04 1.000000e+00 9.682567e-27
3.000000e-04 1.000000e+00 1.950120e-26
4.000000e-04 1.000000e+00 3.296256e-26
5.000000e-04 1.000000e+00 5.003792e-26
6.000000e-04 1.000000e+00 7.097019e-26
7.000000e-04 1.000000e+00 9.512536e-26
8.000000e-04 1.000000e+00 1.249596e-25
9.000000e-04 1.000000e+00 1.737122e-25
1.000000e-03 1.000000e+00 1.267956e-24
1.100000e-03 1.000000e+00 6.214343e-23
1.200000e-03 1.000000e+00 3.065597e-21
1.300000e-03 1.000000e+00 1.294475e-19
1.400000e-03 1.000000e+00 4.651531e-18
1.500000e-03 1.000000e+00 1.420993e-16
1.600000e-03 1.000000e+00 3.688141e-15
1.700000e-03 1.000000e+00 8.129869e-14
1.800000e-03 1.000000e+00 1.521832e-12
1.900000e-03 1.000000e+00 2.419407e-11
2.000000e-03 1.000000e+00 3.267875e-10
2.100000e-03 9.999999e-01 3.752295e-09
2.200000e-03 9.999991e-01 3.665813e-08
2.300000e-03 9.999939e-01 3.050431e-07
2.400000e-03 9.999660e-01 2.165003e-06
2.500000e-03 9.998368e-01 1.312714e-05
2.600000e-03 9.993268e-01 6.812915e-05
2.700000e-03 9.976085e-01 3.033370e-04
2.800000e-03 9.926590e-01 1.161682e-03
2.900000e-03 9.804566e-01 3.838370e-03
3.000000e-03 9.546753e-01 1.098147e-02
3.100000e-03 9.079437e-01 2.731897e-02
3.200000e-03 8.352098e-01 5.939502e-02
3.300000e-03 7.379584e-01 1.135430e-01
3.400000e-03 6.262675e-01 1.922696e-01
3.500000e-03 5.162224e-01 2.910247e-01
3.600000e-03 4.234913e-01 3.980999e-01
3.700000e-03 3.570861e-01 4.986430e-01
3.800000e-03 3.171998e-01 5.805770e-01
3.900000e-03 2.976713e-01 6.386591e-01
4.000000e-03 2.904424e-01 6.745712e-01
4.100000e-03 2.889740e-01 6.939962e-01
4.200000e-03 2.894076e-01 7.032168e-01
4.300000e-03 2.900778e-01 7.070660e-01
4.400000e-03 2.905299e-01 7.084761e-01
4.500000e-03 2.907661e-01 7.089214e-01
4.600000e-03 2.908764e-01 7.090343e-01
4.700000e-03 2.909263e-01 7.090504e-01
4.800000e-03 2.909480e-01 7.090463e-01
4.900000e-03 2.909555e-01 7.090430e-01
5.000000e-03 2.909542e-01 7.090449e-01
5.100000e-03 2.909457e-01 7.090530e-01
5.200000e-03 2.909296e-01 7.090684e-01
5.300000e-03 2.909055e-01 7.090917e-01
5.400000e-03 2.908750e-01 7.091215e-01
5.500000e-03 2.908423e-01 7.091539e-01
5.600000e-03 2.908125e-01 7.091838e-01
5.700000e-03 2.907898e-01 7.092071e-01
5.800000e-03 2.907759e-01 7.092218e-01
5.900000e-03 2.907702e-01 7.092282e-01
6.000000e-03 2.907715e-01 7.092276e-01
6.100000e-03 2.907794e-01 7.092201e-01
6.200000e-03 2.907946e-01 7.092052e-01
6.300000e-03 2.908177e-01 7.091822e-01
6.400000e-03 2.908474e-01 7.091525e-01
6.500000e-03 2.908801e-01 7.091198e-01
6.600000e-03 2.909106e-01 7.090894e-01
6.700000e-03 2.909344e-01 7.090655e-01
6.800000e-03 2.909496e-01 7.090503e-01
6.900000e-03 2.909564e-01 7.090433e-01
7.000000e-03 2.909560e-01 7.090435e-01
7.100000e-03 2.909487e-01 7.090502e-01
7.200000e-03 2.909339e-01 7.090642e-01
7.300000e-03 2.909111e-01 7.090862e-01
7.400000e-03 2.908815e-01 7.091151e-01
7.500000e-03 2.908486e-01 7.091476e-01
7.600000e-03 2.908176e-01 7.091787e-01
7.700000e-03 2.907931e-01 7.092036e-01
7.800000e-03 2.907774e-01 7.092201e-01
7.900000e-03 2.907701e-01 7.092282e-01
8.000000e-03 2.907701e-01 7.092290e-01
8.100000e-03 2.907766e-01 7.092228e-01
8.200000e-03 2.907904e-01 7.092093e-01
8.300000e-03 2.908122e-01 7.091877e-01
8.400000e-03 2.908411e-01 7.091589e-01
8.500000e-03 2.908738e-01 7.091262e-01
8.600000e-03 2.909053e-01 7.090947e-01
8.700000e-03 2.909308e-01 7.090691e-01
8.800000e-03 2.909479e-01 7.090520e-01
8.900000e-03 2.909563e-01 7.090435e-01
9.000000e-03 2.909573e-01 7.090422e-01
9.100000e-03 2.909513e-01 7.090477e-01
9.200000e-03 2.909380e-01 7.090603e-01
9.300000e-03 2.909166e-01 7.090809e-01
9.400000e-03 2.908879e-01 7.091088e-01
9.500000e-03 2.908550e-01 7.091413e-01
9.600000e-03 2.908230e-01 7.091732e-01
9.700000e-03 2.907969e-01 7.091998e-01
9.800000e-03 2.907792e-01 7.092182e-01
9.900000e-03 2.907703e-01 7.092279e-01
1.000000e-02 2.907689e-01 7.092300e-01
1.010000e-02 2.907741e-01 7.092253e-01
1.020000e-02 2.907865e-01 7.092132e-01
1.030000e-02 2.908069e-01 7.091930e-01
1.040000e-02 2.908348e-01 7.091652e-01
1.050000e-02 2.908673e-01 7.091326e-01
1.060000e-02 2.908997e-01 7.091003e-01
1.070000e-02 2.909269e-01 7.090731e-01
1.080000e-02 2.909458e-01 7.090542e-01
1.090000e-02 2.909559e-01 7.090439e-01
1.100000e-02 2.909583e-01 7.090413e-01
1.110000e-02 2.909537e-01 7.090454e-01
1.120000e-02 2.909418e-01 7.090567e-01
1.130000e-02 2.909218e-01 7.090758e-01
1.140000e-02 2.908941e-01 7.091027e-01
1.150000e-02 2.908615e-01 7.091348e-01
1.160000e-02 2.908287e-01 7.091675e-01
1.170000e-02 2.908010e-01 7.091956e-01
1.180000e-02 2.907815e-01 7.092158e-01
1.190000e-02 2.907708e-01 7.092273e-01
1.200000e-02 2.907679e-01 7.092308e-01
