# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  6.127500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  6.127500e+04 -9.650000e-01 7.071421e-02
2.000000e-04 1.000000e+00  6.127500e+04 -9.300000e-01 7.072482e-02
3.000000e-04 1.000000e+00  6.127500e+04 -8.950000e-01 7.074249e-02
4.000000e-04 1.000000e+00  6.127500e+04 -8.600000e-01 7.076722e-02
5.000000e-04 1.000000e+00  6.127500e+04 -8.250000e-01 7.079901e-02
6.000000e-04 1.000000e+00  6.127500e+04 -7.900000e-01 7.083784e-02
7.000000e-04 1.000000e+00  6.127500e+04 -7.550000e-01 7.088371e-02
8.000000e-04 1.000000e+00  6.127500e+04 -7.200000e-01 7.093659e-02
9.000000e-04 1.000000e+00  6.127500e+04 -6.850000e-01 7.099648e-02
1.000000e-03 1.000000e+00  6.127500e+04 -6.500000e-01 7.106335e-02
1.100000e-03 1.000000e+00  6.127500e+04 -6.150000e-01 7.113719e-02
1.200000e-03 1.000000e+00  6.127500e+04 -5.800000e-01 7.121798e-02
1.300000e-03 1.000000e+00  6.127500e+04 -5.450000e-01 7.130568e-02
1.400000e-03 1.000000e+00  6.127500e+04 -5.100000e-01 7.140028e-02
1.500000e-03 1.000000e+00  6.127500e+04 -4.750000e-01 7.150175e-02
1.600000e-03 1.000000e+00  6.127500e+04 -4.400000e-01 7.161006e-02
1.700000e-03 1.000000e+00  6.127500e+04 -4.050000e-01 7.172518e-02
1.800000e-03 1.000000e+00  6.127501e+04 -3.700000e-01 7.184713e-02
1.900000e-03 1.000000e+00  6.127508e+04 -3.349999e-01 7.197638e-02
2.000000e-03 1.000000e+00  6.127560e+04 -2.999988e-01 7.211609e-02
2.100000e-03 1.000000e+00  6.127863e+04 -2.649925e-01 7.228230e-02
2.200000e-03 1.000000e+00  6.129245e+04 -2.299623e-01 7.253474e-02
2.300000e-03 1.000000e+00  6.134274e+04 -1.948490e-01 7.303393e-02
2.400000e-03 1.000000e+00  6.148915e+04 -1.595206e-01 7.407271e-02
2.500000e-03 1.000000e+00  6.183219e+04 -1.237978e-01 7.596377e-02
2.600000e-03 1.000000e+00  6.248303e+04 -8.764043e-02 7.881743e-02
2.700000e-03 1.000000e+00  6.348841e+04 -5.147768e-02 8.264336e-02
2.800000e-03 1.000000e+00  6.475851e+04 -1.637267e-02 8.805777e-02
2.900000e-03 1.000000e+00  6.607488e+04  1.633934e-02 9.674132e-02
3.000000e-03 1.000000e+00  6.719633e+04  4.580318e-02 1.104417e-01
3.100000e-03 1.000000e+00  6.798241e+04  7.212728e-02 1.294257e-01
3.200000e-03 1.000000e+00  6.843604e+04  9.617549e-02 1.524695e-01
3.300000e-03 1.000000e+00  6.865174e+04  1.189679e-01 1.779895e-01
3.400000e-03 1.000000e+00  6.873640e+04  1.412537e-01 2.047534e-01
3.500000e-03 1.000000e+00  6.876391e+04  1.634488e-01 2.319147e-01
3.600000e-03 1.000000e+00  6.877136e+04  1.857495e-01 2.588408e-01
3.700000e-03 1.000000e+00  6.877307e+04  2.082142e-01 2.850527e-01
3.800000e-03 1.000000e+00  6.877342e+04  2.307840e-01 3.103097e-01
3.900000e-03 1.000000e+00  6.877349e+04  2.533220e-01 3.346913e-01
4.000000e-03 1.000000e+00  6.877348e+04  2.757057e-01 3.585414e-01
4.100000e-03 1.000000e+00  6.877342e+04  2.979029e-01 3.822923e-01
4.200000e-03 1.000000e+00  6.877339e+04  3.199642e-01 4.062956e-01
4.300000e-03 1.000000e+00  6.877337e+04  3.419608e-01 4.307523e-01
4.400000e-03 1.000000e+00  6.877335e+04  3.639394e-01 4.557318e-01
4.500000e-03 1.000000e+00  6.877326e+04  3.859173e-01 4.812225e-01
4.600000e-03 1.000000e+00  6.877307e+04  4.078971e-01 5.071766e-01
4.700000e-03 1.000000e+00  6.877276e+04  4.298781e-01 5.335366e-01
4.800000e-03 1.000000e+00  6.877236e+04  4.518595e-01 5.602481e-01
4.900000e-03 1.000000e+00  6.877193e+04  4.738411e-01 5.872636e-01
5.000000e-03 1.000000e+00  6.877156e+04  4.958232e-01 6.145431e-01
5.100000e-03 1.000000e+00  6.877129e+04  5.178060e-01 6.420520e-01
5.200000e-03 1.000000e+00  6.877113e+04  5.397919e-01 6.697578e-01
5.300000e-03 1.000000e+00  6.877105e+04  5.617897e-01 6.976204e-01
5.400000e-03 1.000000e+00  6.877102e+04  5.838234e-01 7.255739e-01
5.500000e-03 1.000000e+00  6.877101e+04  6.059409e-01 7.535026e-01
5.600000e-03 1.000000e+00  6.877101e+04  6.282031e-01 7.812365e-01
5.700000e-03 1.000000e+00  6.877100e+04  6.506400e-01 8.085969e-01
5.800000e-03 1.000000e+00  6.877100e+04  6.731990e-01 8.354842e-01
5.900000e-03 1.000000e+00  6.877100e+04  6.957488e-01 8.619382e-01
6.000000e-03 1.000000e+00  6.877100e+04  7.181587e-01 8.881118e-01
6.100000e-03 1.000000e+00  6.877100e+04  7.403812e-01 9.141830e-01
6.200000e-03 1.000000e+00  6.877100e+04  7.624577e-01 9.402868e-01
6.300000e-03 1.000000e+00  6.877099e+04  7.844604e-01 9.665024e-01
6.400000e-03 1.000000e+00  6.877096e+04  8.064406e-01 9.928694e-01
6.500000e-03 1.000000e+00  6.877087e+04  8.284191e-01 1.019404e+00
6.600000e-03 1.000000e+00  6.877070e+04  8.503997e-01 1.046109e+00
6.700000e-03 1.000000e+00  6.877042e+04  8.723816e-01 1.072978e+00
6.800000e-03 1.000000e+00  6.877003e+04  8.943640e-01 1.100001e+00
6.900000e-03 1.000000e+00  6.876960e+04  9.163468e-01 1.127167e+00
7.000000e-03 1.000000e+00  6.876921e+04  9.383298e-01 1.154466e+00
7.100000e-03 1.000000e+00  6.876892e+04  9.603136e-01 1.181889e+00
7.200000e-03 1.000000e+00  6.876874e+04  9.822998e-01 1.209424e+00
7.300000e-03 1.000000e+00  6.876865e+04  1.004296e+00 1.237055e+00
7.400000e-03 1.000000e+00  6.876862e+04  1.026322e+00 1.264743e+00
7.500000e-03 1.000000e+00  6.876860e+04  1.048423e+00 1.292415e+00
7.600000e-03 1.000000e+00  6.876860e+04  1.070660e+00 1.319957e+00
7.700000e-03 1.000000e+00  6.876860e+04  1.093069e+00 1.347244e+00
7.800000e-03 1.000000e+00  6.876860e+04  1.115615e+00 1.374212e+00
7.900000e-03 1.000000e+00  6.876860e+04  1.138173e+00 1.400902e+00
8.000000e-03 1.000000e+00  6.876860e+04  1.160608e+00 1.427433e+00
8.100000e-03 1.000000e+00  6.876860e+04  1.182856e+00 1.453928e+00
8.200000e-03 1.000000e+00  6.876860e+04  1.204950e+00 1.480464e+00
8.300000e-03 1.000000e+00  6.876859e+04  1.226959e+00 1.507073e+00
8.400000e-03 1.000000e+00  6.876856e+04  1.248941e+00 1.533769e+00
8.500000e-03 1.000000e+00  6.876849e+04  1.270921e+00 1.560563e+00
8.600000e-03 1.000000e+00  6.876833e+04  1.292902e+00 1.587457e+00
8.700000e-03 1.000000e+00  6.876807e+04  1.314885e+00 1.614454e+00
8.800000e-03 1.000000e+00  6.876769e+04  1.336868e+00 1.641549e+00
8.900000e-03 1.000000e+00  6.876727e+04  1.358852e+00 1.668738e+00
9.000000e-03 1.000000e+00  6.876686e+04  1.380836e+00 1.696017e+00
9.100000e-03 1.000000e+00  6.876655e+04  1.402821e+00 1.723381e+00
9.200000e-03 1.000000e+00  6.876636e+04  1.424808e+00 1.750825e+00
9.300000e-03 1.000000e+00  6.876626e+04  1.446802e+00 1.778337e+00
9.400000e-03 1.000000e+00  6.876622e+04  1.468823e+00 1.805893e+00
9.500000e-03 1.000000e+00  6.876620e+04  1.490909e+00 1.833435e+00
9.600000e-03 1.000000e+00  6.876620e+04  1.513121e+00 1.860874e+00
9.700000e-03 1.000000e+00  6.876620e+04  1.535503e+00 1.888109e+00
9.800000e-03 1.000000e+00  6.876620e+04  1.558031e+00 1.915088e+00
9.900000e-03 1.000000e+00  6.876620e+04  1.580595e+00 1.941853e+00
1.000000e-02 1.000000e+00  6.876620e+04  1.603053e+00 1.968510e+00
1.010000e-02 1.000000e+00  6.876620e+04  1.625328e+00 1.995166e+00
1.020000e-02 1.000000e+00  6.876619e+04  1.647440e+00 2.021875e+00
1.030000e-02 1.000000e+00  6.876619e+04  1.669457e+00 2.048651e+00
1.040000e-02 1.000000e+00  6.876616e+04  1.691442e+00 2.075492e+00
1.050000e-02 1.000000e+00  6.876610e+04  1.713422e+00 2.102400e+00
1.060000e-02 1.000000e+00  6.876596e+04  1.735404e+00 2.129380e+00
1.070000e-02 1.000000e+00  6.876571e+04  1.757388e+00 2.156432e+00
1.080000e-02 1.000000e+00  6.876536e+04  1.779372e+00 2.183557e+00
1.090000e-02 1.000000e+00  6.876493e+04  1.801357e+00 2.210751e+00
1.100000e-02 1.000000e+00  6.876452e+04  1.823342e+00 2.238014e+00
1.110000e-02 1.000000e+00  6.876420e+04  1.845328e+00 2.265342e+00
1.120000e-02 1.000000e+00  6.876398e+04  1.867315e+00 2.292732e+00
1.130000e-02 1.000000e+00  6.876387e+04  1.889309e+00 2.320175e+00
1.140000e-02 1.000000e+00  6.876382e+04  1.911325e+00 2.347653e+00
1.150000e-02 1.000000e+00  6.876380e+04  1.933398e+00 2.375121e+00
1.160000e-02 1.000000e+00  6.876379e+04  1.955586e+00 2.402502e+00
1.170000e-02 1.000000e+00  6.876379e+04  1.977940e+00 2.429709e+00
1.180000e-02 1.000000e+00  6.876379e+04  2.000450e+00 2.456694e+00
1.190000e-02 1.000000e+00  6.876379e+04  2.023015e+00 2.483493e+00
1.200000e-02 1.000000e+00  6.876379e+04  2.045494e+00 2.510208e+00
