# x psi_r psi_i psi2 
-8.000000e+00  1.160489e-03 -3.372927e-03 1.272337e-05
-7.999674e+00 -7.625405e-04  2.212371e-03 5.476055e-06
-7.999349e+00  1.313606e-04 -3.758040e-04 1.584842e-07
-7.999023e+00  5.399495e-04 -1.575583e-03 2.774008e-06
-7.998698e+00 -1.046029e-03  3.045518e-03 1.036936e-05
-7.998372e+00  1.232079e-03 -3.584846e-03 1.436914e-05
-7.998047e+00 -1.041214e-03  3.028774e-03 1.025760e-05
-7.997721e+00  5.318512e-04 -1.547225e-03 2.676771e-06
-7.997396e+00  1.401650e-04 -4.070896e-04 1.853682e-07
-7.997070e+00 -7.692473e-04  2.237001e-03 5.595913e-06
-7.996745e+00  1.162960e-03 -3.383356e-03 1.279957e-05
-7.996419e+00 -1.200883e-03  3.495876e-03 1.366327e-05
-7.996094e+00  8.714451e-04 -2.540185e-03 7.211955e-06
-7.995768e+00 -2.754548e-04  8.083131e-04 7.292454e-07
-7.995443e+00 -4.047493e-04  1.170539e-03 1.533982e-06
-7.995117e+00  9.610816e-04 -2.791705e-03 8.717294e-06
-7.994792e+00 -1.223367e-03  3.559820e-03 1.416895e-05
-7.994466e+00  1.111395e-03 -3.240181e-03 1.173397e-05
-7.994141e+00 -6.594494e-04  1.930465e-03 4.161568e-06
-7.993815e+00  5.811210e-06 -3.087757e-05 9.871948e-10
-7.993489e+00  6.495510e-04 -1.878134e-03 3.949303e-06
-7.993164e+00 -1.106158e-03  3.213246e-03 1.154853e-05
-7.992838e+00  1.224346e-03 -3.566501e-03 1.421895e-05
-7.992513e+00 -9.679892e-04  2.829963e-03 8.945696e-06
-7.992187e+00  4.155388e-04 -1.228698e-03 1.682371e-06
-7.991862e+00  2.639828e-04 -7.480031e-04 6.291956e-07
-7.991536e+00 -8.626952e-04  2.496131e-03 6.974913e-06
-7.991211e+00  1.197455e-03 -3.481524e-03 1.355491e-05
-7.990885e+00 -1.165878e-03  3.403086e-03 1.294027e-05
-7.990560e+00  7.776531e-04 -2.284792e-03 5.825017e-06
-7.990234e+00 -1.515701e-04  4.683552e-04 2.423301e-07
-7.989909e+00 -5.208292e-04  1.491183e-03 2.494890e-06
-7.989583e+00  1.033849e-03 -2.995061e-03 1.003923e-05
-7.989258e+00 -1.230567e-03  3.583750e-03 1.435756e-05
-7.988932e+00  1.050829e-03 -3.077375e-03 1.057448e-05
-7.988607e+00 -5.496494e-04  1.630670e-03 2.961199e-06
-7.988281e+00 -1.196323e-04  3.142995e-04 1.130961e-07
-7.987955e+00  7.522647e-04 -2.163221e-03 5.245425e-06
-7.987630e+00 -1.154724e-03  3.351132e-03 1.256347e-05
