# x psi_r psi_i psi2 
-8.000000e+00 -1.108559e-03 -2.172088e-03 5.946868e-06
-7.999674e+00  2.014454e-03  1.690652e-03 6.916331e-06
-7.999349e+00 -2.305560e-03 -6.937814e-04 5.796939e-06
-7.999023e+00  1.893276e-03 -5.143491e-04 3.849047e-06
-7.998698e+00 -9.035939e-04  1.565233e-03 3.266438e-06
-7.998372e+00 -3.614020e-04 -2.138439e-03 4.703532e-06
-7.998047e+00  1.515744e-03  2.059311e-03 6.538242e-06
-7.997721e+00 -2.207344e-03 -1.352190e-03 6.700788e-06
-7.997396e+00  2.225385e-03  2.329256e-04 5.006591e-06
-7.997070e+00 -1.564580e-03  9.570140e-04 3.363788e-06
-7.996745e+00  4.267258e-04 -1.854716e-03 3.622066e-06
-7.996419e+00  8.409294e-04  2.186506e-03 5.487971e-06
-7.996094e+00 -1.851653e-03 -1.851381e-03 6.856233e-06
-7.995768e+00  2.297215e-03  9.517577e-04 6.183038e-06
-7.995443e+00 -2.041882e-03  2.378303e-04 4.225844e-06
-7.995117e+00  1.163769e-03 -1.354506e-03 3.189047e-06
-7.994792e+00  6.905786e-05  2.057747e-03 4.239092e-06
-7.994466e+00 -1.280419e-03 -2.133221e-03 6.190104e-06
-7.994141e+00  2.100804e-03  1.558112e-03 6.841091e-06
-7.993815e+00 -2.280086e-03 -5.080187e-04 5.456876e-06
-7.993489e+00  1.763785e-03 -6.966658e-04 3.596282e-06
-7.993164e+00 -7.096216e-04  1.688505e-03 3.354611e-06
-7.992838e+00 -5.606650e-04 -2.165090e-03 5.001961e-06
-7.992513e+00  1.659512e-03  1.981246e-03 6.679315e-06
-7.992187e+00 -2.251779e-03 -1.193250e-03 6.494353e-06
-7.991862e+00  2.156964e-03  4.160717e-05 4.654223e-06
-7.991536e+00 -1.404212e-03  1.122354e-03 3.231491e-06
-7.991211e+00  2.233600e-04 -1.943663e-03 3.827717e-06
-7.990885e+00  1.025243e-03  2.171959e-03 5.768529e-06
-7.990560e+00 -1.960696e-03 -1.737810e-03 6.864314e-06
-7.990234e+00  2.297749e-03  7.738291e-04 5.878461e-06
-7.989909e+00 -1.933779e-03  4.258330e-04 3.920835e-06
-7.989583e+00  9.800417e-04 -1.495246e-03 3.196241e-06
-7.989258e+00  2.723405e-04  2.108317e-03 4.519171e-06
-7.988932e+00 -1.441240e-03 -2.078229e-03 6.396207e-06
-7.988607e+00  2.170119e-03  1.414363e-03 6.709838e-06
-7.988281e+00 -2.236781e-03 -3.193794e-04 5.105190e-06
-7.987955e+00  1.621106e-03 -8.726521e-04 3.389507e-06
-7.987630e+00 -5.111251e-04  1.798172e-03 3.494672e-06
-7.987304e+00 -7.544102e-04 -2.175016e-03 5.299828e-06
-7.986979e+00  1.789406e-03  1.888434e-03 6.768158e-06
-7.986653e+00 -2.278219e-03 -1.026039e-03 6.243037e-06
-7.986328e+00  2.071918e-03 -1.489855e-04 4.315041e-06
-7.986002e+00 -1.233660e-03  1.278197e-03 3.155704e-06
-7.985677e+00  1.935529e-05 -2.017240e-03 4.069632e-06
-7.985351e+00  1.200458e-03  2.140858e-03 6.024375e-06
-7.985026e+00 -2.053683e-03 -1.611550e-03 6.814708e-06
-7.984700e+00  2.280168e-03  5.909459e-04 5.548384e-06
-7.984375e+00 -1.811030e-03  6.095482e-04 3.651380e-06
-7.984049e+00  7.896029e-04 -1.623766e-03 3.260088e-06
-7.983724e+00  4.723546e-04  2.142466e-03 4.813278e-06
-7.983398e+00 -1.589812e-03 -2.007622e-03 6.558050e-06
-7.983073e+00  2.221945e-03  1.260568e-03 6.526071e-06
-7.982747e+00 -2.176083e-03 -1.293244e-04 4.752062e-06
-7.982422e+00  1.466437e-03 -1.040994e-03 3.234107e-06
-7.982096e+00 -3.096957e-04  1.893470e-03 3.681142e-06
-7.981770e+00 -9.411389e-04 -2.168230e-03 5.586966e-06
-7.981445e+00  1.904478e-03  1.781668e-03 6.801377e-06
-7.981119e+00 -2.286555e-03 -8.518837e-04 5.954042e-06
-7.980794e+00  1.971011e-03 -3.373962e-04 3.998719e-06
-7.980468e+00 -1.054326e-03  1.423400e-03 3.137670e-06
-7.980143e+00 -1.836749e-04 -2.074967e-03 4.339225e-06
-7.979817e+00  1.365243e-03  2.093533e-03 6.246770e-06
-7.979492e+00 -2.129968e-03 -1.473639e-03 6.708377e-06
-7.979166e+00  2.244712e-03  4.045365e-04 5.202381e-06
-7.978841e+00 -1.674685e-03  7.875918e-04 3.424870e-06
-7.978515e+00  5.939929e-04 -1.739149e-03 3.377467e-06
-7.978190e+00  6.675397e-04  2.160021e-03 5.111299e-06
-7.977864e+00 -1.725032e-03 -1.922027e-03 6.669925e-06
-7.977539e+00  2.255971e-03  1.097959e-03 6.294921e-06
-7.977213e+00 -2.098569e-03  6.068229e-05 4.407673e-06
-7.976888e+00  1.301064e-03 -1.200445e-03 3.133836e-06
-7.976562e+00 -1.069393e-04  1.973748e-03 3.907117e-06
-7.976236e+00 -1.119417e-03 -2.144879e-03 5.853598e-06
-7.975911e+00  2.003902e-03  1.661842e-03 6.777341e-06
-7.975585e+00 -2.276823e-03 -6.721570e-04 5.635716e-06
-7.975260e+00  1.855126e-03 -5.221934e-04 3.714177e-06
-7.974934e+00 -8.676735e-04  1.556909e-03 3.176823e-06
-7.974609e+00 -3.841338e-04 -2.116489e-03 4.627086e-06
-7.974283e+00  1.518355e-03  2.030435e-03 6.428068e-06
-7.973958e+00 -2.189042e-03 -1.325197e-03 6.548054e-06
-7.973632e+00  2.191759e-03  2.160483e-04 4.850483e-06
-7.973307e+00 -1.525894e-03  9.586310e-04 3.247326e-06
-7.972981e+00  3.947840e-04 -1.840584e-03 3.543602e-06
-7.972656e+00  8.563825e-04  2.160939e-03 5.403050e-06
-7.972330e+00 -1.845907e-03 -1.822182e-03 6.727719e-06
-7.972005e+00  2.272027e-03  9.278324e-04 6.022979e-06
-7.971679e+00 -2.004942e-03  2.491854e-04 4.081887e-06
-7.971354e+00  1.126352e-03 -1.349832e-03 3.090714e-06
-7.971028e+00  9.553678e-05  2.038473e-03 4.164498e-06
-7.970703e+00 -1.287883e-03 -2.105230e-03 6.090636e-06
-7.970377e+00  2.086980e-03  1.529945e-03 6.696218e-06
-7.970051e+00 -2.249198e-03 -4.882662e-04 5.297294e-06
-7.969726e+00  1.725261e-03 -7.019812e-04 3.469302e-06
-7.969400e+00 -6.752166e-04  1.677766e-03 3.270816e-06
-7.969075e+00 -5.804537e-04 -2.141577e-03 4.923280e-06
-7.968749e+00  1.658650e-03  1.952134e-03 6.561947e-06
-7.968424e+00 -2.230534e-03 -1.167420e-03 6.338153e-06
-7.968098e+00  2.121823e-03  2.693683e-05 4.502860e-06
-7.967773e+00 -1.365901e-03  1.121394e-03 3.123210e-06
-7.967447e+00  1.935681e-04 -1.927369e-03 3.752221e-06
-7.967122e+00  1.037428e-03  2.145306e-03 5.678594e-06
-7.966796e+00 -1.951561e-03 -1.708930e-03 6.729031e-06
-7.966471e+00  2.270085e-03  7.515315e-04 5.718086e-06
-7.966145e+00 -1.896032e-03  4.347491e-04 3.783946e-06
-7.965820e+00  9.437313e-04 -1.488065e-03 3.104965e-06
-7.965494e+00  2.961363e-04  2.087234e-03 4.444242e-06
-7.965169e+00 -1.445264e-03 -2.049678e-03 6.289966e-06
-7.964843e+00  2.153147e-03  1.387055e-03 6.559965e-06
-7.964518e+00 -2.203998e-03 -3.016428e-04 4.948593e-06
-7.964192e+00  1.582518e-03 -8.754099e-04 3.270705e-06
-7.963866e+00 -4.785061e-04  1.785115e-03 3.415602e-06
-7.963541e+00 -7.711084e-04 -2.150129e-03 5.217665e-06
-7.963215e+00  1.785093e-03  1.859314e-03 6.643603e-06
-7.962890e+00 -2.254215e-03 -1.001567e-03 6.084622e-06
-7.962564e+00  2.035552e-03 -1.613459e-04 4.169505e-06
-7.962239e+00 -1.196031e-03  1.274679e-03 3.055296e-06
-7.961913e+00 -8.055848e-06 -1.998922e-03 3.995753e-06
-7.961588e+00  1.209290e-03  2.113331e-03 5.928551e-06
-7.961262e+00 -2.041246e-03 -1.583212e-03 6.673245e-06
-7.960937e+00  2.250261e-03  5.704412e-04 5.389079e-06
-7.960611e+00 -1.772783e-03  6.159680e-04 3.522176e-06
-7.960286e+00  7.546870e-04 -1.614146e-03 3.175021e-06
-7.959960e+00  4.932867e-04  2.119746e-03 4.736655e-06
-7.959635e+00 -1.590378e-03 -1.978735e-03 6.444694e-06
-7.959309e+00  2.201976e-03  1.234326e-03 6.372258e-06
-7.958984e+00 -2.141677e-03 -1.137316e-04 4.599714e-06
-7.958658e+00  1.428095e-03 -1.041186e-03 3.123524e-06
-7.958332e+00 -2.791179e-04  1.878207e-03 3.605567e-06
-7.958007e+00 -9.546250e-04 -2.142171e-03 5.500206e-06
-7.957681e+00  1.896762e-03  1.752765e-03 6.669890e-06
-7.957356e+00 -2.259996e-03 -8.289530e-04 5.794746e-06
-7.957030e+00  1.933717e-03 -3.473620e-04 3.859920e-06
-7.956705e+00 -1.017678e-03  1.417365e-03 3.044592e-06
-7.956379e+00 -2.084944e-04 -2.054777e-03 4.265577e-06
-7.956054e+00  1.370665e-03  2.065350e-03 6.144390e-06
-7.955728e+00 -2.114342e-03 -1.446061e-03 6.561536e-06
-7.955403e+00  2.212811e-03  3.859749e-04 5.045511e-06
-7.955077e+00 -1.636247e-03  7.914778e-04 3.303741e-06
-7.954752e+00  5.607467e-04 -1.727178e-03 3.297582e-06
-7.954426e+00  6.854515e-04  2.135849e-03 5.031696e-06
-7.954101e+00 -1.722148e-03 -1.893031e-03 6.549360e-06
-7.953775e+00  2.233176e-03  1.072983e-03 6.138370e-06
-7.953450e+00 -2.062823e-03  7.402095e-05 4.260717e-06
-7.953124e+00  1.263277e-03 -1.198082e-03 3.031267e-06
-7.952799e+00 -7.864035e-05  1.956408e-03 3.833715e-06
-7.952473e+00 -1.129595e-03 -2.117854e-03 5.761292e-06
-7.952147e+00  1.992859e-03  1.633379e-03 6.639414e-06
-7.951822e+00 -2.247932e-03 -6.509380e-04 5.476920e-06
-7.951496e+00  1.817207e-03 -5.296992e-04 3.582823e-06
-7.951171e+00 -8.322985e-04  1.548416e-03 3.090313e-06
-7.950845e+00 -4.061725e-04 -2.094593e-03 4.552295e-06
-7.950520e+00  1.520336e-03  2.001817e-03 6.318695e-06
-7.950194e+00 -2.170367e-03 -1.298589e-03 6.396825e-06
-7.949869e+00  2.158129e-03  1.995644e-04 4.697348e-06
-7.949543e+00 -1.487575e-03  9.599656e-04 3.134414e-06
-7.949218e+00  3.634681e-04 -1.826366e-03 3.467723e-06
-7.948892e+00  8.711421e-04  2.135511e-03 5.319295e-06
-7.948567e+00 -1.839611e-03 -1.793301e-03 6.600097e-06
-7.948241e+00  2.246601e-03  9.043095e-04 5.864993e-06
-7.947916e+00 -1.968150e-03  2.601775e-04 3.941305e-06
-7.947590e+00  1.089421e-03 -1.344944e-03 2.995711e-06
-7.947265e+00  1.213386e-04  2.019200e-03 4.091893e-06
